[2022-05-17 16:32:04,675] 2가 식별 되었습니다.
[2022-05-17 16:32:09,317] 2가 식별 되었습니다.
[2022-05-17 16:32:13,934] 2가 식별 되었습니다.
[2022-05-17 16:32:19,041] 2가 식별 되었습니다.
[2022-05-17 16:32:23,726] 1가 식별 되었습니다.
[2022-05-17 16:32:28,541] 2가 식별 되었습니다.
[2022-05-17 16:32:33,210] 2가 식별 되었습니다.
[2022-05-17 16:32:37,841] 2가 식별 되었습니다.
[2022-05-17 16:32:42,463] 2가 식별 되었습니다.
[2022-05-17 16:32:47,098] 2가 식별 되었습니다.
[2022-05-17 16:32:51,732] 2가 식별 되었습니다.
[2022-05-17 16:32:56,382] 2가 식별 되었습니다.
[2022-05-17 16:33:01,041] 2가 식별 되었습니다.
