[2022-05-09 06:23:35,767] 1가 식별 되었습니다.
[2022-05-09 06:23:36,437] 2가 식별 되었습니다.
[2022-05-09 06:23:37,215] 2가 식별 되었습니다.
[2022-05-09 06:23:38,671] 1가 식별 되었습니다.
[2022-05-09 06:23:39,365] 2가 식별 되었습니다.
[2022-05-09 06:23:39,973] 1가 식별 되었습니다.
[2022-05-09 06:23:40,660] 1가 식별 되었습니다.
[2022-05-09 06:23:41,259] 1가 식별 되었습니다.
[2022-05-09 06:23:41,929] 1가 식별 되었습니다.
[2022-05-09 06:23:42,615] 1가 식별 되었습니다.
[2022-05-09 06:23:43,213] 2가 식별 되었습니다.
[2022-05-09 06:23:44,059] 1가 식별 되었습니다.
[2022-05-09 06:23:44,715] 1가 식별 되었습니다.
[2022-05-09 06:23:45,452] 1가 식별 되었습니다.
[2022-05-09 06:23:47,566] 1가 식별 되었습니다.
[2022-05-09 06:23:48,164] 1가 식별 되었습니다.
[2022-05-09 06:23:49,005] 2가 식별 되었습니다.
[2022-05-09 06:23:49,652] 1가 식별 되었습니다.
[2022-05-09 06:23:50,253] 1가 식별 되었습니다.
[2022-05-09 06:23:50,905] 2가 식별 되었습니다.
[2022-05-09 06:23:51,502] 2가 식별 되었습니다.
[2022-05-09 06:23:52,267] 2가 식별 되었습니다.
[2022-05-09 06:23:52,996] 1가 식별 되었습니다.
[2022-05-09 06:23:53,606] 2가 식별 되었습니다.
[2022-05-09 06:23:54,260] 2가 식별 되었습니다.
[2022-05-09 06:23:55,397] 1가 식별 되었습니다.
[2022-05-09 06:23:56,184] 1가 식별 되었습니다.
[2022-05-09 06:23:56,825] 1가 식별 되었습니다.
[2022-05-09 06:23:57,430] 1가 식별 되었습니다.
[2022-05-09 06:23:58,299] 1가 식별 되었습니다.
[2022-05-09 06:23:58,960] 1가 식별 되었습니다.
[2022-05-09 06:23:59,559] 1가 식별 되었습니다.
